ZoneID,Population,UrgencyScore,DistanceKM,SupplyRequired,AccessWindowStart,AccessWindowEnd
Z43,3309,0.788,478.34,156,2025-01-03T03:00:00,2025-01-03T22:00:00
Z44,14160,0.635,80.96,129,2025-01-16T14:00:00,2025-01-19T05:00:00
Z45,34796,0.302,189.42,38,2025-01-05T18:00:00,2025-01-07T02:00:00
Z46,16735,0.528,286.55,118,2025-01-09T00:00:00,2025-01-10T15:00:00
Z47,48327,0.683,316.21,191,2025-01-19T13:00:00,2025-01-21T05:00:00
Z48,30297,0.568,13.05,46,2025-01-10T16:00:00,2025-01-11T02:00:00
Z49,2526,0.434,482.37,18,2025-01-03T06:00:00,2025-01-05T20:00:00
Z50,12526,0.654,178.4,28,2025-01-05T14:00:00,2025-01-07T16:00:00
Z51,45386,0.733,337.42,122,2025-01-07T15:00:00,2025-01-09T20:00:00
Z52,3185,0.789,184.14,176,2025-01-17T13:00:00,2025-01-18T09:00:00
Z53,27350,0.418,462.85,67,2025-01-13T19:00:00,2025-01-15T03:00:00
Z54,44342,0.543,178.39,124,2025-01-16T11:00:00,2025-01-17T11:00:00
Z55,39741,0.813,43.53,87,2025-01-14T10:00:00,2025-01-16T21:00:00
Z56,20828,0.912,404.17,182,2025-01-10T06:00:00,2025-01-11T16:00:00
Z57,47260,0.786,49.26,115,2025-01-02T12:00:00,2025-01-05T00:00:00
Z58,22938,0.898,20.59,91,2025-01-11T17:00:00,2025-01-13T10:00:00
Z59,47921,0.432,386.85,65,2025-01-20T18:00:00,2025-01-22T21:00:00
Z60,20473,0.815,289.36,33,2025-01-17T07:00:00,2025-01-17T11:00:00
Z61,7293,0.113,32.37,44,2025-01-20T19:00:00,2025-01-22T22:00:00
Z62,23898,0.647,252.56,145,2025-01-07T06:00:00,2025-01-09T15:00:00
Z63,42012,0.764,114.5,51,2025-01-01T13:00:00,2025-01-02T00:00:00
Z64,6592,0.307,67.25,39,2025-01-18T01:00:00,2025-01-20T03:00:00
Z65,33180,0.89,240.93,169,2025-01-09T21:00:00,2025-01-10T17:00:00
Z66,25879,0.767,108.21,112,2025-01-17T13:00:00,2025-01-19T01:00:00
Z67,46869,0.773,252.04,190,2025-01-09T03:00:00,2025-01-09T09:00:00
Z68,42990,0.629,177.05,176,2025-01-03T22:00:00,2025-01-06T22:00:00
Z69,12453,0.538,264.0,155,2025-01-17T16:00:00,2025-01-20T06:00:00
Z70,3989,0.641,310.59,149,2025-01-19T17:00:00,2025-01-21T19:00:00
Z71,41812,0.822,337.08,139,2025-01-07T02:00:00,2025-01-09T14:00:00
Z72,40688,0.562,179.13,119,2025-01-11T03:00:00,2025-01-12T18:00:00
Z73,26217,0.884,255.8,138,2025-01-12T11:00:00,2025-01-13T11:00:00
Z74,49103,0.363,140.55,93,2025-01-12T10:00:00,2025-01-12T14:00:00
Z75,14937,0.726,302.98,156,2025-01-11T11:00:00,2025-01-13T14:00:00
Z76,22771,0.991,171.96,76,2025-01-03T08:00:00,2025-01-04T02:00:00
Z77,19484,0.455,152.41,156,2025-01-21T01:00:00,2025-01-22T12:00:00
Z78,2123,0.707,312.86,80,2025-01-04T03:00:00,2025-01-04T05:00:00
Z79,32976,0.895,459.25,159,2025-01-19T11:00:00,2025-01-20T03:00:00
Z80,42113,0.217,133.17,3,2025-01-12T23:00:00,2025-01-15T21:00:00
Z81,18272,0.158,336.39,163,2025-01-06T09:00:00,2025-01-08T07:00:00
Z82,31721,0.549,210.02,17,2025-01-06T08:00:00,2025-01-08T04:00:00
Z83,46682,0.741,135.49,169,2025-01-14T17:00:00,2025-01-17T11:00:00
Z84,25639,0.261,242.68,200,2025-01-18T21:00:00,2025-01-19T11:00:00
Z85,4700,0.181,450.68,163,2025-01-16T02:00:00,2025-01-18T21:00:00
Z86,13794,0.174,413.94,119,2025-01-13T02:00:00,2025-01-15T01:00:00
Z87,33914,0.854,217.05,195,2025-01-04T17:00:00,2025-01-06T01:00:00
Z88,3830,0.116,284.88,4,2025-01-14T17:00:00,2025-01-16T23:00:00
Z89,10114,0.135,197.35,27,2025-01-19T22:00:00,2025-01-21T16:00:00
Z90,33032,0.635,112.09,43,2025-01-05T04:00:00,2025-01-06T23:00:00
Z91,47494,0.994,387.99,54,2025-01-08T23:00:00,2025-01-09T10:00:00
Z92,4046,0.325,368.51,145,2025-01-07T02:00:00,2025-01-07T16:00:00
Z93,13253,0.886,26.68,192,2025-01-21T18:00:00,2025-01-22T00:00:00
Z94,4326,0.604,342.17,105,2025-01-16T04:00:00,2025-01-18T08:00:00
Z95,7793,0.89,353.26,47,2025-01-16T22:00:00,2025-01-19T10:00:00
Z96,40847,0.821,277.82,176,2025-01-09T06:00:00,2025-01-12T00:00:00
Z97,38317,0.192,142.82,79,2025-01-04T13:00:00,2025-01-04T14:00:00
Z98,24413,0.441,192.0,16,2025-01-06T11:00:00,2025-01-07T00:00:00
Z99,48316,0.155,193.4,66,2025-01-19T04:00:00,2025-01-19T10:00:00
Z100,26860,0.784,383.74,76,2025-01-02T05:00:00,2025-01-04T14:00:00
Z101,47480,0.677,461.96,20,2025-01-09T22:00:00,2025-01-11T08:00:00
Z102,40887,0.162,259.12,135,2025-01-08T22:00:00,2025-01-11T00:00:00
Z103,25292,0.484,347.82,172,2025-01-10T10:00:00,2025-01-11T11:00:00
Z104,14014,0.362,145.1,10,2025-01-14T07:00:00,2025-01-15T01:00:00
Z105,8522,0.797,372.54,52,2025-01-17T03:00:00,2025-01-18T15:00:00
Z106,16918,0.619,279.95,69,2025-01-13T07:00:00,2025-01-16T03:00:00
Z107,2204,0.764,126.6,127,2025-01-03T21:00:00,2025-01-04T08:00:00
Z108,34340,0.624,168.56,80,2025-01-20T04:00:00,2025-01-21T05:00:00
Z109,26044,0.874,411.06,150,2025-01-15T06:00:00,2025-01-17T17:00:00
Z110,47033,0.359,370.05,124,2025-01-10T13:00:00,2025-01-12T04:00:00
Z111,39475,0.162,378.19,88,2025-01-16T07:00:00,2025-01-18T13:00:00
Z112,11369,0.506,286.43,110,2025-01-09T00:00:00,2025-01-10T08:00:00
Z113,8584,0.24,286.21,33,2025-01-15T22:00:00,2025-01-17T02:00:00
Z114,13460,0.617,246.16,95,2025-01-10T02:00:00,2025-01-11T07:00:00
Z115,9246,0.51,27.36,25,2025-01-19T22:00:00,2025-01-21T04:00:00
Z116,5235,0.616,133.42,23,2025-01-15T06:00:00,2025-01-16T06:00:00
Z117,47152,0.24,417.52,188,2025-01-02T12:00:00,2025-01-03T03:00:00
Z118,33488,0.523,462.83,121,2025-01-19T17:00:00,2025-01-20T10:00:00
Z119,40195,0.726,171.59,106,2025-01-06T16:00:00,2025-01-08T00:00:00
